title	queer?	yes/all	%	tags	url
League of Legends: Academy 	No	123/442	27.828054298642535	"slice of life,slice of life,comedy,fantasy,slice of life,comedy,fantasy,"	"https://tapas.io/series/League-of-Legends-Academy"
Plant Mode 	YESSSSS	124/443	27.99097065462754	"#romance,#environment,#comedy,#bl,#philosophy,#plants,#lgbtq,#polyamory,#slice_of_life,#romance,#environment,#comedy,#bl,#philosophy,#plants,#lgbtq,#polyamory,#slice_of_life,comedy,comedy,lgbtq+,slice of life,comedy,lgbtq+,slice of life,"	"https://tapas.io/series/Plant-Mode"
Future Angels 	No	124/444	27.927927927927925	"#superhero,#family,#superheroines,#time_travel,#future_angels,#superhero,#family,#superheroines,#time_travel,#future_angels,drama,drama,action,comedy,drama,action,comedy,"	"https://tapas.io/series/Future-Angels"
Deixe a Chuva cair. 	No	124/445	27.86516853932584	"#comic,#webcomic,#color,#brazil,#brasil,#ptbr,#pt_br,#portugues,#comic,#webcomic,#color,#brazil,#brasil,#ptbr,#pt_br,#portugues,drama,drama,drama,"	"https://tapas.io/series/Deixe-a-Chuva-cair"
The Last Kiya 	No	124/446	27.802690582959645	"#manga,#magic,#shonen,#demons,#aliens,#monsters,#fire,#power,#sword,#battle,#manga,#magic,#shonen,#demons,#aliens,#monsters,#fire,#power,#sword,#battle,fantasy,fantasy,action,science fiction,fantasy,action,science fiction,"	"https://tapas.io/series/TheLastKiya"
Un Monstruo Sigue a Emy 	No	124/447	27.740492170022375	"#terror,#oneshot,#horro,#suspenso,#emy,#terror,#oneshot,#horro,#suspenso,#emy,horror,horror,mystery,science fiction,horror,mystery,science fiction,"	"https://tapas.io/series/Un-Monstruo-Sigue-a-Emy"
Star rings  	No	124/448	27.67857142857143	"romance,romance,drama,fantasy,romance,drama,fantasy,"	"https://tapas.io/series/Star-rings-"
One Time 	No	124/449	27.616926503340757	"#comic,#funny,#comedy,#dark_humor,#sad_moments,#suzhroom,#one_time,#one_day_revamp,#comic,#funny,#comedy,#dark_humor,#sad_moments,#suzhroom,#one_time,#one_day_revamp,slice of life,slice of life,drama,comedy,slice of life,drama,comedy,"	"https://tapas.io/series/One-Time"
The Ventriloquist 	No	124/450	27.555555555555557	"#surreal,#ai,#surrealism,#dada,#dall_e,#dalle,#dalle2,#dall_e2,#openai,#craiyon,#surreal,#ai,#surrealism,#dada,#dall_e,#dalle,#dalle2,#dall_e2,#openai,#craiyon,drama,drama,drama,"	"https://tapas.io/series/The-Ventriloquist"
Mad Scrap 	No	124/451	27.494456762749447	"#mad_scrap,#desnicable,#mad_scrap,#desnicable,action,action,horror,comedy,action,horror,comedy,"	"https://tapas.io/series/Mad-Scrap"
Kami Koroshi 	No	124/452	27.43362831858407	"action,action,fantasy,action,fantasy,"	"https://tapas.io/series/Kami-Koroshi"
The Last Stands! (USA) 	No	124/453	27.373068432671083	"drama,drama,action,mystery,drama,action,mystery,"	"https://tapas.io/series/The-Last-Stands-USA"
BFF (Yoonmin) 	YESSSSS	125/454	27.53303964757709	"#bl,#lgbt,#suga,#bts,#bff,#jimin,#lgbtiq,#yoonmin,#blb,#bl,#lgbt,#suga,#bts,#bff,#jimin,#lgbtiq,#yoonmin,#blb,romance,romance,lgbtq+,comedy,romance,lgbtq+,comedy,"	"https://tapas.io/series/BFF-Yoonmin"
Senior Manager 	No	125/455	27.472527472527474	"#satire,#depressive,#dark_humor,#satire,#depressive,#dark_humor,comedy,comedy,slice of life,comedy,slice of life,"	"https://tapas.io/series/Senior-Manager"
HIBRIDO. 	YESSSSS	126/456	27.631578947368425	"#romance,#bl,#boyslove,#romance,#bl,#boyslove,bl,bl,romance,drama,bl,romance,drama,"	"https://tapas.io/series/HIBRIDO"
I'll be the Villainess  	No	126/457	27.571115973741794	"#magic,#romance,#historical,#villainess,#transmigration,#betrayed_,#magic,#romance,#historical,#villainess,#transmigration,#betrayed_,fantasy,fantasy,romance,drama,fantasy,romance,drama,"	"https://tapas.io/series/Ill-be-the-Villainess-"
Black Knight Grom 	YESSSSS	127/458	27.729257641921397	"#superhero,#knight,#poland,#slavic,#black_and_white,#myriad_anthology,#superhero,#knight,#poland,#slavic,#black_and_white,#myriad_anthology,drama,drama,action,lgbtq+,drama,action,lgbtq+,"	"https://tapas.io/series/Black-Knight-Grom"
Calm as the sea, deep as the ocean 	YESSSSS	128/459	27.886710239651418	"#love,#fantasy,#romance,#nature,#poetry,#love,#fantasy,#romance,#nature,#poetry,romance,romance,lgbtq+,fantasy,romance,lgbtq+,fantasy,"	"https://tapas.io/series/Calm-as-the-sea-deep-as-the-ocean"
Once upon A time 	No	128/460	27.82608695652174	"action,action,comedy,science fiction,action,comedy,science fiction,"	"https://tapas.io/series/Once-upon-At"
Silent thoughts  	No	128/461	27.765726681127983	"romance,romance,slice of life,fantasy,romance,slice of life,fantasy,"	"https://tapas.io/series/Silent-thoughts-"
